,node,community,local_role
601,1115,c4,Local Peripheral
602,1116,c2,Local Ultra-Peripheral
603,1117,c2,Local Ultra-Peripheral
604,1118,c1,Local Peripheral
605,1119,c2,Local Ultra-Peripheral
606,1120,c4,Local Ultra-Peripheral
607,1121,c4,Local Peripheral
608,1122,c3,Local Peripheral
609,1123,c2,Local Ultra-Peripheral
610,1124,c2,Local Ultra-Peripheral
611,1125,c2,Local Ultra-Peripheral
612,1126,c2,Local Ultra-Peripheral
613,1127,c4,Local Peripheral
614,1128,c2,Local Peripheral
615,1129,c4,Local Peripheral
616,1130,c2,Local Ultra-Peripheral
617,1131,c4,Local Peripheral
618,1132,c2,Local Ultra-Peripheral
619,1133,c2,Local Ultra-Peripheral
620,1134,c4,Local Peripheral
621,1135,c2,Local Peripheral
622,1136,c1,Local Peripheral
623,1137,c1,Local Peripheral
624,1138,c1,Local Peripheral
625,1139,c4,Local Peripheral
626,1140,c7,Local Peripheral
627,1141,c4,Local Peripheral
628,1142,c3,Local Peripheral
629,1143,c4,Local Peripheral
630,1144,c1,Local Peripheral
631,1145,c2,Local Ultra-Peripheral
632,1146,c2,Local Ultra-Peripheral
633,1147,c4,Local Peripheral
634,1148,c4,Local Peripheral
635,1149,c2,Local Ultra-Peripheral
636,1150,c2,Local Peripheral
637,1151,c2,Local Ultra-Peripheral
638,1152,c4,Local Peripheral
639,1153,c2,Local Ultra-Peripheral
640,1154,c3,Local Peripheral
641,1155,c3,Local Peripheral
642,1156,c2,Local Ultra-Peripheral
643,1157,c2,Local Ultra-Peripheral
644,1158,c4,Local Peripheral
645,1159,c4,Local Peripheral
646,1160,c2,Local Ultra-Peripheral
647,1161,c2,Local Peripheral
648,1162,c3,Local Peripheral
649,1163,c2,Local Ultra-Peripheral
650,1164,c2,Local Ultra-Peripheral
651,1165,c1,Local Connector
652,1166,c4,Local Peripheral
653,1167,c4,Local Peripheral
654,1168,c4,Local Peripheral
655,1169,c4,Local Peripheral
656,1170,c4,Local Peripheral
657,1171,c2,Local Connector
658,1172,c2,Local Ultra-Peripheral
659,1173,c2,Local Peripheral
660,1174,c1,Local Peripheral
661,1175,c2,Local Ultra-Peripheral
662,1176,c4,Local Peripheral
663,1177,c1,Local Peripheral
664,1178,c1,Local Connector
665,1179,c3,Local Ultra-Peripheral
666,1180,c2,Local Ultra-Peripheral
667,1181,c2,Local Ultra-Peripheral
668,1182,c2,Local Peripheral
669,1183,c4,Local Peripheral
670,1184,c2,Local Ultra-Peripheral
671,1185,c2,Local Ultra-Peripheral
672,1186,c1,Local Peripheral
673,1187,c1,Local Peripheral
674,1188,c4,Local Peripheral
675,1189,c4,Local Peripheral
676,1190,c4,Local Peripheral
677,1191,c2,Local Ultra-Peripheral
678,1192,c4,Local Peripheral
679,1193,c2,Local Connector
680,1194,c2,Local Peripheral
681,1195,c2,Local Ultra-Peripheral
682,1196,c2,Local Peripheral
683,1197,c1,Local Peripheral
684,1198,c2,Local Ultra-Peripheral
685,1199,c2,Local Ultra-Peripheral
686,1200,c2,Local Connector
687,1201,c2,Local Ultra-Peripheral
688,1202,c2,Local Peripheral
689,1203,c1,Local Peripheral
690,1204,c4,Local Peripheral
691,1205,c2,Local Ultra-Peripheral
692,1206,c2,Local Ultra-Peripheral
693,1207,c2,Local Ultra-Peripheral
694,1208,c2,Local Ultra-Peripheral
695,1209,c2,Local Ultra-Peripheral
696,1210,c3,Local Peripheral
697,1211,c2,Local Ultra-Peripheral
698,1212,c3,Local Peripheral
699,1213,c4,Local Peripheral
700,1214,c2,Local Ultra-Peripheral
701,1215,c4,Local Peripheral
702,1216,c1,Local Peripheral
703,1217,c4,Local Peripheral
704,1218,c1,Local Peripheral
705,1219,c2,Local Ultra-Peripheral
706,1220,c2,Local Ultra-Peripheral
707,1221,c4,Local Ultra-Peripheral
708,1222,c2,Local Peripheral
709,1223,c3,Local Peripheral
710,1224,c2,Local Ultra-Peripheral
711,1225,c4,Local Peripheral
712,1226,c4,Local Peripheral
713,1227,c4,Local Ultra-Peripheral
714,1228,c4,Local Peripheral
715,1229,c4,Local Peripheral
716,1230,c2,Local Ultra-Peripheral
717,1231,c4,Local Peripheral
718,1232,c1,Local Peripheral
719,1233,c3,Local Peripheral
720,1234,c3,Local Peripheral
721,1235,c4,Local Peripheral
722,1236,c4,Local Ultra-Peripheral
723,1237,c3,Local Peripheral
724,1238,c2,Local Peripheral
725,1239,c2,Local Ultra-Peripheral
726,1240,c1,Local Peripheral
727,1241,c4,Local Peripheral
728,1242,c2,Local Ultra-Peripheral
729,1243,c2,Local Peripheral
730,1244,c4,Local Peripheral
731,1245,c4,Local Peripheral
732,1246,c4,Local Peripheral
733,1247,c4,Local Peripheral
734,1248,c4,Local Peripheral
735,1249,c4,Local Peripheral
736,1250,c2,Local Ultra-Peripheral
737,1251,c1,Local Peripheral
738,1252,c1,Local Peripheral
739,1253,c2,Local Ultra-Peripheral
740,1254,c1,Local Peripheral
741,1255,c2,Local Ultra-Peripheral
742,1256,c2,Local Ultra-Peripheral
743,1257,c4,Local Ultra-Peripheral
744,1258,c4,Local Peripheral
745,1259,c4,Local Ultra-Peripheral
746,1260,c4,Local Peripheral
747,1261,c4,Local Peripheral
748,1262,c2,Local Ultra-Peripheral
749,1263,c3,Local Connector
750,1264,c4,Local Peripheral
751,1265,c2,Local Peripheral
752,1266,c2,Local Peripheral
753,1267,c2,Local Ultra-Peripheral
754,1268,c4,Local Connector
755,1269,c2,Local Ultra-Peripheral
756,1270,c2,Local Ultra-Peripheral
757,1271,c2,Local Ultra-Peripheral
758,1272,c2,Local Ultra-Peripheral
759,1273,c4,Local Peripheral
760,1274,c1,Local Peripheral
