,node,reason,meaning,target
19,19,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
20,20,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
21,21,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
22,22,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
23,23,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
24,24,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
25,25,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
26,26,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
27,27,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
28,28,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
29,29,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
30,30,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
31,31,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
32,32,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
33,33,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
34,34,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
35,35,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
36,36,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
37,37,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
38,38,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
39,39,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
40,40,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
41,41,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
42,42,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
43,43,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
44,44,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
45,45,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
46,46,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
47,47,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
48,48,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
49,49,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
50,50,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
51,51,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
52,52,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
53,53,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
54,54,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
55,55,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
56,56,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
57,57,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
58,58,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
59,59,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
60,60,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
61,61,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
62,62,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
63,63,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
64,64,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
65,65,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
66,66,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
67,67,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
68,68,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
69,69,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
70,70,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
71,71,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
72,72,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
73,73,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
74,74,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
75,75,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
76,76,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
77,77,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
78,78,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
79,79,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
80,80,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
81,81,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
82,82,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
83,83,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
84,84,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
85,85,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
86,86,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
87,87,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
88,88,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
89,89,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
90,90,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
91,91,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
92,92,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
93,93,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
94,94,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
95,95,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
96,96,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
97,97,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
98,98,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
99,99,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
100,100,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
101,101,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
102,102,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
103,103,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
104,104,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
105,105,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
106,106,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
107,107,Links to different parts of the c2 community.,Acts as a local bridge that provides internal connections for better information flow.,To improve internal information flow efficiency for c2 community.
108,108,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
109,109,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
110,110,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
111,111,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
112,112,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
113,113,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
114,114,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
115,115,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
116,116,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
117,117,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
118,118,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
119,119,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
120,120,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
121,121,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
122,122,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
123,123,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
124,124,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
125,125,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
126,126,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
127,127,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
128,128,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
129,129,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
130,130,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
131,131,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
132,132,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
133,133,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
134,134,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
135,135,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
136,136,Has few internal connections and limited engagement within c11 community.,Is locally isolated within c11 community.,To support local inclusion and re-engagement.
137,137,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
138,138,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
139,139,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
140,140,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
141,141,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
142,142,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
143,143,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
144,144,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
145,145,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
146,146,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
147,147,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
148,148,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
149,149,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
150,150,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
151,151,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
152,152,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
153,153,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
154,154,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
155,155,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
156,156,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
157,157,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
158,158,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
159,159,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
160,160,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
161,161,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
162,162,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
163,163,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
164,164,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
165,165,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
166,166,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
167,167,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
168,168,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
169,169,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
170,170,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
171,171,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
172,172,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
173,173,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
174,174,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
175,175,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
176,176,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
177,177,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
178,178,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
179,179,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
180,180,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
181,181,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
182,182,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
183,183,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
184,184,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
185,185,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
186,186,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
187,187,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
188,188,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
189,189,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
190,190,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
191,191,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
192,192,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
193,193,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
194,194,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
195,195,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
196,196,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
197,197,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
198,198,Has few internal connections and limited engagement within c3 community.,Is locally isolated within c3 community.,To support local inclusion and re-engagement.
199,199,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
200,200,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
201,201,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
202,202,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
203,203,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
204,204,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
205,205,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
206,206,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
207,207,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
208,208,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
209,209,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
210,210,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
211,211,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
212,212,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
213,213,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
214,214,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
215,215,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
216,216,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
217,217,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
218,218,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
219,219,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
220,220,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
221,221,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
222,222,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
223,223,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
224,224,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
225,225,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
226,226,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
227,227,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
228,228,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
229,229,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
230,230,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
231,231,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
232,232,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
233,233,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
234,234,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
235,235,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
236,236,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
237,237,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
238,238,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
239,239,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
240,240,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
241,241,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
242,242,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
243,243,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
244,244,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
245,245,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
246,246,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
247,247,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
248,248,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
249,249,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
250,250,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
251,251,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
252,252,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
253,253,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
254,254,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
255,255,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
256,256,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
257,257,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
258,258,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
259,259,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
260,260,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
261,261,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
262,262,Has few internal connections and limited engagement within c0 community.,Is locally isolated within c0 community.,To support local inclusion and re-engagement.
